Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
iBAT ZT_03 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_074.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_075.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_081.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_082.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_085.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_086.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_092.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_093.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_096.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_097.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_057.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_058.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_061.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_062.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_068.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_069.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_072.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_073.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_079.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_080.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_083.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_084.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_090.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_091.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_094.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_095.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
