Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
iBAT ZT_06 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_081.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_082.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_085.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_086.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_092.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_093.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_096.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_097.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_057.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_058.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_061.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_062.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_068.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_069.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_072.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_073.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_079.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_080.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_083.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_084.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_090.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_091.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_094.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				Luna Silica (5 µm, 2 mm x 250 mm; Phenomenex)	normal phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210417_095.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_normal-phase_metabolite_profiling_v2_maf.tsv
